#timestamp 1529949661938
#date 2018-06-25T18:01:01+00:00
#players 1000
#index,id,rank,name,tier,lp,level,proTeam,win,loss
0,summoner-54601,1,Aloned,Challenger,1245,88,,260,176
1,summoner-485522,2,Josedeodo,Challenger,1244,86,,124,54
2,summoner-146501,3,Reincarnati0n,Challenger,981,81,,296,249
3,summoner-13101424,4,Jon Slow,Challenger,964,67,,160,90
4,summoner-12970770,5,Laro,Challenger,900,108,,290,241
5,summoner-22373,6,Jara,Challenger,855,96,,314,266
6,summoner-887542,7,Áckerman,Challenger,849,87,,200,148
7,summoner-39798,8,Ðark,Challenger,804,75,,132,77
8,summoner-41970,9,Ronnie Sullivan,Challenger,780,97,,319,274
9,summoner-551623,10,Cubn,Challenger,746,92,,240,184
10,summoner-78155,11,Jovana Rea,Challenger,720,70,,163,114
11,summoner-258446,12,Plugo,Challenger,700,67,,135,95
12,summoner-117772,13,Popeyee,Challenger,637,164,,290,187
13,summoner-197380,14,El tio Pompas,Challenger,629,145,,192,141
14,summoner-42122,15,TøpLop,Challenger,613,158,,609,564
15,summoner-2273511,16,Bën,Challenger,612,93,,149,114
16,summoner-2260415,17,ClickClick,Challenger,588,118,,277,247
17,summoner-316731,18,Fixeal,Challenger,588,64,,140,83
18,summoner-1540877,19,Rîn,Challenger,581,66,,228,179
19,summoner-419084,20,Follow,Challenger,550,106,,259,214
20,summoner-90878,21,Crab,Challenger,569,66,,183,146
21,summoner-11510189,22,MK Piqueos,Challenger,534,71,,177,140
22,summoner-919421,23,LSG TurboBestia,Challenger,534,97,,169,126
23,summoner-1342068,24,Just Historia,Challenger,529,136,,442,414
24,summoner-55115,25,Amazing LOL,Challenger,522,76,,219,175
25,summoner-3773783,26,xypherz,Challenger,517,115,,356,309
26,summoner-6421946,27,Franchu1440,Challenger,514,80,,295,251
27,summoner-2531572,28,Zach dempsey,Challenger,511,93,,342,301
28,summoner-4168955,29,adcccc,Challenger,498,113,,266,220
29,summoner-4563644,30,Stay in Tower,Challenger,493,140,,510,472
30,summoner-28154,31,TA Sasuke,Challenger,489,70,,163,126
31,summoner-14220740,32,should kys,Challenger,488,67,,287,223
32,summoner-65363,33,Ríos,Challenger,488,77,,126,90
33,summoner-1272154,34,KING Dongˇha,Challenger,486,113,,345,313
34,summoner-414524,35,FIare,Challenger,484,110,,222,186
35,summoner-10890287,36,Fan De CasterMax,Challenger,477,98,,177,134
36,summoner-201891,37,randommmm,Challenger,472,72,,151,121
37,summoner-68001,38,EduardoFilopo,Challenger,451,92,,229,187
38,summoner-521178,39,Kartana,Challenger,462,92,,291,248
39,summoner-214586,40,Churri1,Challenger,461,56,,163,130
40,summoner-247624,41,lkiefer,Challenger,451,102,,179,154
41,summoner-183154,42,Mát,Challenger,454,99,,324,288
42,summoner-100168,43,Ázenth,Challenger,432,98,,269,230
43,summoner-225934,44,Morts,Challenger,430,109,,339,310
44,summoner-8511827,45,Ðaedra,Challenger,430,58,,106,71
45,summoner-118449,46,maybe someday,Challenger,424,58,,166,133
46,summoner-1140356,47,F3NIX,Challenger,422,74,,140,102
47,summoner-71900,48,2v1 plz,Challenger,420,102,,229,201
48,summoner-6232791,49,Fòrce,Challenger,416,49,,72,35
49,summoner-464759,50,Little ROODRA,Challenger,406,88,,250,160
50,summoner-1254016,51,FLORA FATALE,Challenger,399,106,,284,250
51,summoner-110499,52,Psykhé,Challenger,397,73,,235,200
52,summoner-4054501,53,Cesni,Challenger,394,114,,319,305
53,summoner-238388,54,NaFT,Challenger,391,90,,130,98
54,summoner-735988,55,Ayax UwU,Challenger,393,77,,268,198
55,summoner-4590501,56,1cody,Challenger,370,71,,250,197
56,summoner-51342,57,We Are Life,Challenger,388,56,,120,89
57,summoner-130151,58,woofı,Challenger,386,66,,133,104
58,summoner-14130145,59,finding myself,Challenger,384,67,,218,159
59,summoner-29645,60,PureBlood,Challenger,382,84,,239,205
60,summoner-1434364,61,OFWGKTA,Challenger,378,110,,337,296
61,summoner-14143678,62,CA Krim,Challenger,376,63,,181,120
62,summoner-93840,63,CHAU AMlGOS,Challenger,376,67,,173,153
63,summoner-61840,64,Phyro,Challenger,376,92,,139,112
64,summoner-1811981,65,Nero CIaudius,Challenger,375,55,,136,104
65,summoner-132222,66,ANHLTR,Challenger,372,76,,169,145
66,summoner-556257,67,Shales,Challenger,366,91,,185,148
67,summoner-1042870,68,ADC IN MMXVIII,Challenger,365,97,,227,201
68,summoner-5271319,69,HangedMan,Challenger,364,67,,213,175
69,summoner-7136429,70,Tachikawa Mimi,Challenger,361,117,,306,287
70,summoner-64238,71,BL Leonaidas,Challenger,358,69,,189,162
71,summoner-7096236,72,Kiyro,Challenger,356,101,,197,161
72,summoner-13840348,73,Pancake v2,Challenger,355,48,,90,58
73,summoner-4262259,74,chill and win,Challenger,350,85,,145,113
74,summoner-6443773,75,sNow is Back,Challenger,350,43,,93,43
75,summoner-56039,76,tilin,Challenger,348,83,,121,93
76,summoner-2080155,77,Ankør,Challenger,345,88,,212,187
77,summoner-462989,78,sweetnsalty,Challenger,345,73,,194,178
78,summoner-1640210,79,Zeb3xy,Challenger,362,178,,748,739
79,summoner-25895,80,Walkarus,Challenger,342,85,,214,187
80,summoner-114867,81,Dhek,Challenger,336,114,,382,351
