#timestamp 1529906461334
#date 2018-06-25T06:01:01+00:00
#players 1000
#index,id,rank,name,tier,lp,level,proTeam,win,loss
0,summoner-54601,1,Aloned,Challenger,1245,88,,260,176
1,summoner-485522,2,Josedeodo,Challenger,1244,86,,124,54
2,summoner-146501,3,Reincarnati0n,Challenger,981,81,,296,249
3,summoner-13101424,4,Jon Slow,Challenger,964,67,,160,90
4,summoner-12970770,5,Laro,Challenger,900,108,,290,241
5,summoner-22373,6,Jara,Challenger,855,96,,314,266
6,summoner-887542,7,Áckerman,Challenger,849,87,,200,148
7,summoner-39798,8,Ðark,Challenger,805,74,,131,76
8,summoner-41970,9,Ronnie Sullivan,Challenger,780,97,,319,274
9,summoner-551623,10,Cubn,Challenger,746,92,,240,184
10,summoner-78155,11,Jovana Rea,Challenger,720,70,,163,114
11,summoner-258446,12,Plugo,Challenger,700,67,,135,95
12,summoner-117772,13,Popeyee,Challenger,637,163,,290,187
13,summoner-197380,14,El tio Pompas,Challenger,629,145,,192,141
14,summoner-42122,15,TøpLop,Challenger,618,158,,607,562
15,summoner-2273511,16,Bën,Challenger,612,93,,149,114
16,summoner-2260415,17,ClickClick,Challenger,588,118,,277,247
17,summoner-316731,18,Fixeal,Challenger,588,64,,140,83
18,summoner-1540877,19,Rîn,Challenger,581,66,,228,179
19,summoner-419084,20,Follow,Challenger,576,106,,259,213
20,summoner-90878,21,Crab,Challenger,569,66,,183,146
21,summoner-11510189,22,MK Piqueos,Challenger,534,71,,177,140
22,summoner-919421,23,LSG TurboBestia,Challenger,534,97,,169,126
23,summoner-1342068,24,Just Historia,Challenger,529,136,,442,414
24,summoner-55115,25,Amazing LOL,Challenger,522,76,,219,175
25,summoner-3773783,26,xypherz,Challenger,517,115,,356,309
26,summoner-6421946,27,Franchu1440,Challenger,514,80,,295,251
27,summoner-2531572,28,Zach dempsey,Challenger,511,93,,342,301
28,summoner-414524,29,FIare,Challenger,505,110,,222,185
29,summoner-4563644,30,Stay in Tower,Challenger,500,139,,509,471
30,summoner-10890287,31,Fan De CasterMax,Challenger,500,98,,177,133
31,summoner-28154,32,TA Sasuke,Challenger,489,70,,163,126
32,summoner-1272154,33,KING Dongˇha,Challenger,486,112,,345,313
33,summoner-4168955,34,adcccc,Challenger,485,113,,265,219
34,summoner-65363,35,Ríos,Challenger,474,77,,125,90
35,summoner-201891,36,randommmm,Challenger,472,72,,151,121
36,summoner-68001,37,EduardoFilopo,Challenger,468,92,,229,186
37,summoner-14220740,38,should kys,Challenger,467,67,,283,221
38,summoner-183154,39,Mát,Challenger,462,99,,323,287
39,summoner-521178,40,Kartana,Challenger,462,92,,291,248
40,summoner-214586,41,Churri1,Challenger,461,56,,163,130
41,summoner-247624,42,lkiefer,Challenger,451,102,,179,154
42,summoner-225934,43,Morts,Challenger,448,109,,339,309
43,summoner-100168,44,Ázenth,Challenger,432,98,,269,230
44,summoner-8511827,45,Ðaedra,Challenger,430,58,,106,71
45,summoner-118449,46,maybe someday,Challenger,424,58,,166,133
46,summoner-1140356,47,F3NIX,Challenger,422,74,,140,102
47,summoner-71900,48,2v1 plz,Challenger,420,102,,229,201
48,summoner-6232791,49,Fòrce,Challenger,416,49,,72,35
49,summoner-464759,50,Little ROODRA,Challenger,406,88,,250,160
50,summoner-1254016,51,FLORA FATALE,Challenger,399,106,,284,250
51,summoner-110499,52,Psykhé,Challenger,397,73,,235,200
52,summoner-14143678,53,CA Krim,Challenger,396,63,,180,118
53,summoner-4054501,54,Cesni,Challenger,394,114,,319,305
54,summoner-238388,55,NaFT,Challenger,394,90,,130,98
55,summoner-735988,56,Ayax UwU,Challenger,393,77,,268,198
56,summoner-51342,57,We Are Life,Challenger,388,56,,120,89
57,summoner-130151,58,woofı,Challenger,386,66,,133,104
58,summoner-1042870,59,ADC IN MMXVIII,Challenger,384,96,,225,198
59,summoner-14130145,60,finding myself,Challenger,384,67,,218,159
60,summoner-5271319,61,HangedMan,Challenger,383,67,,213,174
61,summoner-29645,62,PureBlood,Challenger,382,84,,239,205
62,summoner-93840,63,CHAU AMlGOS,Challenger,376,67,,173,153
63,summoner-61840,64,Phyro,Challenger,376,92,,139,112
64,summoner-7096236,65,Kiyro,Challenger,375,100,,197,160
65,summoner-1811981,66,Nero CIaudius,Challenger,375,55,,136,104
66,summoner-132222,67,ANHLTR,Challenger,372,76,,169,145
67,summoner-4590501,68,1cody,Challenger,370,71,,249,196
68,summoner-556257,69,Shales,Challenger,366,91,,185,148
69,summoner-7136429,70,Tachikawa Mimi,Challenger,361,117,,306,287
70,summoner-64238,71,BL Leonaidas,Challenger,358,69,,189,162
71,summoner-13840348,72,Pancake v2,Challenger,355,48,,90,58
72,summoner-4262259,73,chill and win,Challenger,350,85,,145,113
73,summoner-6443773,74,sNow is Back,Challenger,350,43,,93,43
74,summoner-56039,75,tilin,Challenger,348,83,,121,93
75,summoner-2080155,76,Ankør,Challenger,345,88,,212,187
76,summoner-462989,77,sweetnsalty,Challenger,345,73,,194,178
77,summoner-25895,78,Walkarus,Challenger,342,85,,214,187
78,summoner-71247,79,el rowlio pa,Challenger,340,114,,403,384
79,summoner-57964,80,Near ü,Challenger,331,131,,313,284
80,summoner-114867,81,Dhek,Challenger,330,114,,381,350
