#timestamp 1529787668015
#date 2018-06-23T21:01:08+00:00
#players 1000
#index,id,rank,name,tier,lp,level,proTeam,win,loss
0,summoner-16534242,1,TF BIade,Challenger,1185,44,,128,51
1,summoner-41710,2,Pix CaritaTriste,Challenger,1144,77,,138,74
2,summoner-5470459,3,LAE xSWRD,Challenger,1067,69,,165,112
3,summoner-95820,4,VírusFx,Challenger,927,90,,132,68
4,summoner-144414,5,Kunou,Challenger,837,97,,136,86
5,summoner-2281875,6,Hirotaka Nifuji,Challenger,788,119,,144,110
6,summoner-886644,7,vSack,Challenger,786,92,,189,153
7,summoner-6130219,8,Geohelado,Challenger,761,74,,168,129
8,summoner-640255,9,Swifu,Challenger,759,109,,163,122
9,summoner-2342030,10,Athyż,Challenger,741,93,,159,120
10,summoner-42749,11,Cliff0,Challenger,723,74,,252,196
11,summoner-418941,12,MadBlade,Challenger,702,69,,189,138
12,summoner-116294,13,MySunflower Dani,Challenger,688,99,,173,129
13,summoner-2322700,14,CGC S A M Y 2,Challenger,647,84,,189,146
14,summoner-139862,15,Säth,Challenger,595,127,,197,157
15,summoner-48057,16,Luha,Challenger,590,95,,173,144
16,summoner-4571935,17,Fighter1,Challenger,588,46,,150,105
17,summoner-1157126,18,bubbleman08,Challenger,578,90,,119,87
18,summoner-56961,19,JuanDrd435,Challenger,577,133,,309,263
19,summoner-348223,20,Miketsü,Challenger,563,92,,189,156
20,summoner-947428,21,TwitchTv Crecre,Challenger,546,89,,236,178
21,summoner-5494753,22,Zorekk Onii Chan,Challenger,531,76,,149,115
22,summoner-8801194,23,Hand of Obelisk,Challenger,529,83,,209,170
23,summoner-537764,24,Thief of Relics,Challenger,528,87,,153,123
24,summoner-204315,25,lruga,Challenger,518,73,,267,235
25,summoner-61520,26,TES ArándanoAzul,Challenger,517,107,,147,104
26,summoner-6291753,27,Güereca,Challenger,510,51,,131,96
27,summoner-4591052,28,BloodyLion,Challenger,509,70,,209,171
28,summoner-168284,29,SomosAsc0Deduo,Challenger,506,94,,203,178
29,summoner-50080,30,Jujo,Challenger,502,103,,132,91
30,summoner-941191,31,BoñeIo,Challenger,495,80,,187,153
31,summoner-176354,32,Crecre,Challenger,492,87,,365,306
32,summoner-5660236,33,ZXVMGBORSA95,Challenger,470,106,,300,266
33,summoner-44037,34,Trash Game,Challenger,469,86,,150,113
